asset_id,asset_type,location,latitude,longitude,project_code,phase,status,design_date,install_date,last_updated
AST0001,water_tower,Unknown,42.0453745,-87.7533684,INFRA002,Construction,Installed,2024-01-30,2024-03-19,2024-09-13
AST0002,water_tower,Unknown,40.7897913,-89.3614007,INFRA001,Operation,Active,2024-02-19,2024-04-30,2024-06-01
AST0003,water_tower,Ransom Water Tower,41.156692,-88.6491578,INFRA003,Construction,Installed,2024-02-16,2024-03-31,2024-05-01
AST0004,water_tower,Lena Water Tower,42.3802263,-89.8282019,INFRA003,Design,Planned,2024-01-22,,2024-01-22
AST0005,water_tower,Unknown,42.3760105,-89.0090966,INFRA003,Operation,Active,2024-02-10,2024-04-28,2024-06-25
AST0006,water_tower,Unknown,41.6241712,-88.1381785,INFRA002,Operation,Active,2024-02-22,2024-05-20,2024-08-19
AST0007,water_tower,Unknown,41.6301699,-88.1133992,INFRA001,Design,Planned,2024-02-05,,2024-02-05
AST0008,water_tower,Unknown,41.80166,-87.8325388,INFRA001,Design,Planned,2024-02-12,,2024-02-12
AST0009,water_tower,La Grange Park Water Tower,41.8177758,-87.8654574,INFRA001,Decommissioned,Retired,2024-01-12,2024-03-03,2024-05-09
AST0010,water_tower,Unknown,41.8319741,-87.8654998,INFRA003,Operation,Active,2024-01-30,2024-03-24,2024-09-20
AST0011,water_tower,Unknown,41.7761645,-87.8435791,INFRA001,Design,Planned,2024-01-28,,2024-01-28
AST0012,water_tower,Unknown,42.4973887,-89.0384439,INFRA001,Operation,Active,2024-02-03,2024-05-03,2024-08-29
AST0013,water_tower,Unknown,41.6229033,-87.959775,INFRA001,Construction,Installed,2024-02-13,2024-03-21,2024-07-17
AST0014,water_tower,Unknown,42.0847704,-88.0201009,INFRA001,Design,Planned,2024-01-10,,2024-01-10
AST0015,water_tower,Unknown,41.9591691,-87.9495651,INFRA003,Operation,Active,2024-02-20,2024-05-04,2024-06-03
AST0016,water_tower,Unknown,37.006964,-89.1766901,INFRA002,Construction,Installed,2024-01-28,2024-03-05,2024-07-18
AST0017,water_tower,Unknown,41.1561833,-87.6578817,INFRA003,Operation,Active,2024-01-30,2024-04-09,2024-05-15
AST0018,water_tower,Unknown,41.0214464,-87.7220835,INFRA002,Operation,Active,2024-01-02,2024-03-24,2024-07-29
AST0019,water_tower,Unknown,42.219275,-88.266971,INFRA002,Operation,Active,2024-02-09,2024-03-17,2024-05-27
AST0020,water_tower,Unknown,41.4617927,-87.6175985,INFRA002,Decommissioned,Retired,2024-01-06,2024-03-07,2024-08-20
AST0021,water_tower,Unknown,42.1002911,-88.3525604,INFRA001,Operation,Active,2024-01-30,2024-03-28,2024-05-02
AST0022,water_tower,Gilberts,42.1405827,-88.3748916,INFRA003,Construction,Installed,2024-02-17,2024-04-21,2024-07-25
AST0023,water_tower,Gilberts,42.085906,-88.3626567,INFRA001,Construction,Installed,2024-01-10,2024-03-16,2024-05-07
AST0024,water_tower,Unknown,42.0639583,-88.4026644,INFRA001,Operation,Active,2024-01-27,2024-03-09,2024-05-05
AST0025,water_tower,Unknown,41.9444058,-88.0235068,INFRA003,Design,Planned,2024-02-27,,2024-02-27
AST0026,water_tower,Unknown,42.3153588,-88.98732,INFRA001,Construction,Installed,2024-01-04,2024-02-20,2024-06-17
AST0027,water_tower,Unknown,42.3449686,-88.2524262,INFRA001,Decommissioned,Retired,2024-01-15,2024-04-06,2024-05-29
AST0028,water_tower,Unknown,42.119277,-89.5783059,INFRA001,Decommissioned,Retired,2024-02-01,2024-03-26,2024-07-21
AST0029,water_tower,Unknown,41.5467448,-87.8422817,INFRA003,Design,Planned,2024-01-19,,2024-01-19
AST0030,water_tower,Unknown,41.9994801,-88.2877367,INFRA001,Decommissioned,Retired,2024-02-17,2024-03-18,2024-08-04
AST0031,water_tower,Rosemont Water Tower,41.9903199,-87.8608045,INFRA001,Operation,Active,2024-02-18,2024-05-17,2024-10-29
AST0032,water_tower,Elgin,42.0262192,-88.2355991,INFRA001,Construction,Installed,2024-01-26,2024-03-25,2024-09-03
AST0033,water_tower,South Elgin,41.9845649,-88.3453812,INFRA001,Operation,Active,2024-02-16,2024-03-19,2024-07-05
AST0034,water_tower,Unknown,42.2223793,-88.3666157,INFRA003,Operation,Active,2024-01-03,2024-02-25,2024-05-24
AST0035,water_tower,Unknown,42.1942865,-88.3964541,INFRA001,Construction,Installed,2024-02-03,2024-03-31,2024-07-02
AST0036,water_tower,Unknown,42.1899492,-88.3886794,INFRA001,Decommissioned,Retired,2024-01-03,2024-03-05,2024-06-18
AST0037,water_tower,Unknown,41.9812239,-88.0375647,INFRA003,Construction,Installed,2024-01-19,2024-03-23,2024-05-09
AST0038,water_tower,Unknown,41.9811681,-88.0667149,INFRA002,Decommissioned,Retired,2024-02-19,2024-03-21,2024-08-08
AST0039,water_tower,Stream Wood,42.0126521,-88.2113554,INFRA001,Design,Planned,2024-02-09,,2024-02-09
AST0040,water_tower,Hoffman Estates,42.0706558,-88.2293978,INFRA002,Operation,Active,2024-03-01,2024-04-04,2024-05-08
AST0041,water_tower,Unknown,42.1418104,-88.2602084,INFRA003,Construction,Installed,2024-02-08,2024-04-29,2024-08-06
AST0042,water_tower,Chicago Rawhide,42.0564542,-88.2977598,INFRA003,Operation,Active,2024-02-25,2024-04-29,2024-09-24
AST0043,water_tower,Unknown,42.0350413,-88.3292078,INFRA001,Decommissioned,Retired,2024-02-06,2024-03-14,2024-04-17
AST0044,water_tower,Unknown,42.0141794,-88.3346483,INFRA003,Design,Planned,2024-01-26,,2024-01-26
AST0045,water_tower,Unknown,41.8853589,-88.2058255,INFRA002,Operation,Active,2024-02-16,2024-04-01,2024-08-27
AST0046,water_tower,Unknown,41.9885037,-88.1244129,INFRA003,Construction,Installed,2024-01-05,2024-02-12,2024-05-15
AST0047,water_tower,Unknown,41.8843959,-88.5322309,INFRA002,Construction,Installed,2024-02-07,2024-03-17,2024-09-05
AST0048,water_tower,Unknown,42.3377957,-88.2778625,INFRA002,Construction,Installed,2024-01-24,2024-03-23,2024-08-06
AST0049,water_tower,Unknown,42.44668,-88.3062689,INFRA001,Operation,Active,2024-01-18,2024-02-27,2024-07-18
AST0050,water_tower,Unknown,42.4804798,-88.3084549,INFRA003,Construction,Installed,2024-01-19,2024-03-02,2024-05-16
AST0051,water_tower,Unknown,42.1878648,-88.3124235,INFRA001,Construction,Installed,2024-02-04,2024-04-07,2024-09-05
AST0052,water_tower,Unknown,42.379537,-89.0266324,INFRA003,Construction,Installed,2024-02-08,2024-03-10,2024-07-11
AST0053,water_tower,Unknown,42.104725,-88.2976151,INFRA001,Design,Planned,2024-02-27,,2024-02-27
AST0054,water_tower,Unknown,42.0206538,-88.1498162,INFRA003,Operation,Active,2024-02-04,2024-03-21,2024-04-25
AST0055,water_tower,Unknown,41.9735078,-88.6906378,INFRA001,Operation,Active,2024-01-03,2024-02-09,2024-04-03
AST0056,water_tower,Hoffman Estates Water Tower,42.0485767,-88.0778185,INFRA001,Construction,Installed,2024-02-05,2024-04-25,2024-09-12
AST0057,water_tower,Unknown,41.4806205,-88.0699788,INFRA003,Decommissioned,Retired,2024-01-16,2024-02-23,2024-04-21
AST0058,water_tower,Unknown,39.4779603,-90.0426907,INFRA002,Operation,Active,2024-01-14,2024-03-21,2024-05-05
AST0059,water_tower,Unknown,41.998562,-88.1088164,INFRA001,Decommissioned,Retired,2024-01-17,2024-03-03,2024-05-06
AST0060,water_tower,Unknown,41.9615694,-88.2956515,INFRA001,Decommissioned,Retired,2024-02-03,2024-03-30,2024-06-17
AST0061,water_tower,Northbrook Water Tower,42.1294223,-87.8290908,INFRA002,Construction,Installed,2024-01-31,2024-04-09,2024-05-21
AST0062,water_tower,Unknown,41.9705211,-90.1045204,INFRA002,Operation,Active,2024-01-27,2024-04-24,2024-09-20
AST0063,water_tower,Unknown,42.4167466,-88.0792941,INFRA002,Design,Planned,2024-01-01,,2024-01-01
AST0064,water_tower,Unknown,41.9982129,-88.0261944,INFRA003,Decommissioned,Retired,2024-01-06,2024-02-05,2024-03-30
AST0065,water_tower,Unknown,42.10879,-88.1137884,INFRA003,Decommissioned,Retired,2024-02-06,2024-03-10,2024-07-27
AST0066,water_tower,Unknown,42.1030391,-88.1128765,INFRA002,Operation,Active,2024-01-15,2024-03-03,2024-04-20
AST0067,water_tower,Unknown,42.0961348,-88.1224713,INFRA002,Construction,Installed,2024-01-15,2024-03-09,2024-07-22
AST0068,water_tower,Bloomingdale,41.9467517,-88.0768696,INFRA001,Operation,Active,2024-02-29,2024-04-14,2024-06-03
AST0069,water_tower,Unknown,41.8883678,-87.980082,INFRA003,Construction,Installed,2024-02-13,2024-04-08,2024-05-16
AST0070,water_tower,Unknown,41.8505209,-87.9253289,INFRA002,Operation,Active,2024-01-20,2024-04-17,2024-08-18
AST0071,water_tower,Unknown,42.1043075,-89.834153,INFRA001,Design,Planned,2024-02-23,,2024-02-23
