asset_id,asset_type,location,latitude,longitude
AST0001,water_tower,Unknown,42.0453745,-87.7533684
AST0002,water_tower,Unknown,40.7897913,-89.3614007
AST0003,water_tower,Ransom Water Tower,41.156692,-88.6491578
AST0004,water_tower,Lena Water Tower,42.3802263,-89.8282019
AST0005,water_tower,Unknown,42.3760105,-89.0090966
AST0006,water_tower,Unknown,41.6241712,-88.1381785
AST0007,water_tower,Unknown,41.6301699,-88.1133992
AST0008,water_tower,Unknown,41.80166,-87.8325388
AST0009,water_tower,La Grange Park Water Tower,41.8177758,-87.8654574
AST0010,water_tower,Unknown,41.8319741,-87.8654998
AST0011,water_tower,Unknown,41.7761645,-87.8435791
AST0012,water_tower,Unknown,42.4973887,-89.0384439
AST0013,water_tower,Unknown,41.6229033,-87.959775
AST0014,water_tower,Unknown,42.0847704,-88.0201009
AST0015,water_tower,Unknown,41.9591691,-87.9495651
AST0016,water_tower,Unknown,37.006964,-89.1766901
AST0017,water_tower,Unknown,41.1561833,-87.6578817
AST0018,water_tower,Unknown,41.0214464,-87.7220835
AST0019,water_tower,Unknown,42.219275,-88.266971
AST0020,water_tower,Unknown,41.4617927,-87.6175985
AST0021,water_tower,Unknown,42.1002911,-88.3525604
AST0022,water_tower,Gilberts,42.1405827,-88.3748916
AST0023,water_tower,Gilberts,42.085906,-88.3626567
AST0024,water_tower,Unknown,42.0639583,-88.4026644
AST0025,water_tower,Unknown,41.9444058,-88.0235068
AST0026,water_tower,Unknown,42.3153588,-88.98732
AST0027,water_tower,Unknown,42.3449686,-88.2524262
AST0028,water_tower,Unknown,42.119277,-89.5783059
AST0029,water_tower,Unknown,41.5467448,-87.8422817
AST0030,water_tower,Unknown,41.9994801,-88.2877367
AST0031,water_tower,Rosemont Water Tower,41.9903199,-87.8608045
AST0032,water_tower,Elgin,42.0262192,-88.2355991
AST0033,water_tower,South Elgin,41.9845649,-88.3453812
AST0034,water_tower,Unknown,42.2223793,-88.3666157
AST0035,water_tower,Unknown,42.1942865,-88.3964541
AST0036,water_tower,Unknown,42.1899492,-88.3886794
AST0037,water_tower,Unknown,41.9812239,-88.0375647
